,control_1mMPi_R1,control_1mMPi_R2,control_1mMPi_R3,T01mMPhi_R1,T01mMPhi_R2,T01mMPhi_R3,T05mMPhi_R1,T05mMPhi_R2,T05mMPhi_R3
Tatro_006797-T1,922,884.33,843.25,9639.83,867.5,953.67,1688,1472.5,767.33
Tatro_006798-T1,3242.7,2462.12,2725.08,34125.53,2655.5,2917.08,5788.17,4960,2353.92
Tatro_006800-T1,714.58,825,357.5,30781.53,4576.75,4922.08,6095.67,5400.67,2727.33
Tatro_006801-T1,270,282,191,7109.92,599.5,647,746,661.83,261.33
Tatro_006802-T1,0,0,0,14.5,3,4,4,8,4
Tatro_006803-T1,14,11,11,550.83,43,57.5,71,48.5,23
Tatro_006804-T1,8602,8430.08,8211.67,231764.1,23587.16,25963.75,35363.9,31074.67,14498.08
Tatro_006805-T1,1933.17,1460.08,1755.67,40258.65,3727.7,4079.08,5066.12,4608.5,2623.67
Tatro_006806-T1,63,43,66,908.83,76.5,72,142.5,135.5,71
Tatro_006807-T1,1757.78,2051.67,2156.83,17930.17,2401.83,2569,2929.33,2550.83,1347.5
Tatro_006808-T1,1099.5,1240.17,964.33,24748.87,2431.33,2489.67,4230.42,4085.42,1986
Tatro_006809-T1,8.5,6,10,101.67,9,16.5,19.5,16.5,9
Tatro_006810-T1,1116,1143.08,1312.08,12162.25,1124.42,1236.5,1321.33,1353.75,589.5
Tatro_006811-T1,954.83,1253.25,1372.33,23088.67,2837.12,2907,817.17,726,386.5
Tatro_006812-T1,10,16.5,12,103.5,12,14,18,21.5,11
Tatro_006813-T1,52.5,38.5,47.5,2274,180,185,372.5,370,160.5
Tatro_006814-T1,1005.08,912.83,878.83,4227.42,592.5,625.5,1372.5,1173.17,583
Tatro_006815-T1,1582,1303.33,1164.67,29874.33,3618.25,4324.25,7465.08,6274.82,2934.58
Tatro_006816-T1,1402.5,1466.83,1242.33,2239.58,299.5,310,589.33,542,252
Tatro_006817-T1,1647.33,1684,1452.58,11223.03,1267.33,1381.83,2198.33,1919.5,997
Tatro_006818-T1,972.17,882.33,1041,4220.08,419.83,479.5,795,732.5,333.5
Tatro_006819-T1,12556.42,7938.25,11755.33,81843.87,4904.42,5042,8868.33,8102.08,3373.67
Tatro_006820-T1,794.58,672.17,876,13077.42,1026.67,1188.33,1695.83,1516.67,663.5
Tatro_006821-T1,1134,1180,1360.83,2064.08,230.5,280.33,412,392.5,157.5
Tatro_006822-T1,4673.42,4472.33,4953.83,34520.33,3644.33,3761.25,7708.58,6943.17,3325.83
Tatro_006823-T1,725.5,607,668.08,5184.17,516.5,508,960,819.5,404.5
Tatro_006824-T1,7,19.5,14.5,75.5,15,13,24,17,11
Tatro_006825-T1,556.5,442.5,544.08,7063.42,644.17,623.5,1028.5,907.33,480.5
Tatro_006826-T1,9,7,9,94.5,9.5,10,17.5,24,11
Tatro_006827-T1,547.5,458.5,514.83,5922.75,696.83,763.33,1869.67,1492.5,826.5
Tatro_006829-T1,11,8,13,82,10,9,8,10.5,3
Tatro_006830-T1,242,180.5,236,1961.5,217.5,200,454.5,376,175.5
Tatro_006831-T1,60.5,49.5,71.5,651.08,51.5,51,96,99,53.5
Tatro_006832-T1,506.75,430.5,386.5,7405.53,660,686.5,560.08,520.5,228
Tatro_006833-T1,511.67,432.5,463,2962.92,364.5,374,1001,944.5,565
Tatro_006834-T1,12287.17,10450.92,15052,61860.61,5403.67,5818.25,3708.75,3131.33,1713.33
Tatro_006835-T1,3307.67,3121.58,5096.75,20233.52,2138.25,2329.92,2611.42,2488.75,1550.5
Tatro_006836-T1,1399.25,1137.83,1466.33,13489.12,1011.83,1131.5,2284.5,2264.33,895
Tatro_006838-T1,1085,1143.37,1278.17,9046.75,919.75,949.83,2653.42,2347,1236.17
Tatro_006837-T1,103.5,123.87,122.17,808.83,88.42,106.33,501.08,489.67,280.17
Tatro_006839-T1,1288.33,1038.83,1040.5,10891.33,912.67,1034,2228.2,2088.83,1018
Tatro_006840-T1,2,5,2,70.5,10,11,25.5,13,10
Tatro_006841-T1,0,1,0,29.5,1.5,2.5,8,8.5,1.5
Tatro_006842-T1,1,3,0,31,3.5,4.5,13,8.5,3.5
Tatro_006843-T1,0,0,0,1,0,1,2,0,0
Tatro_006844-T1,716.5,473,896,5553.92,434,498,1180,1143.5,600
Tatro_006845-T1,48,40,59.5,261.83,29,23,44.5,47,27
Tatro_006846-T1,0,0.5,1,1,0,1,0,2,1
Tatro_006848-T1,0,0,2,3,0,2,2,0,1
Tatro_006849-T1,1,2.5,4,6,0,0,3,0,0
Tatro_006850-T1,8,17.5,5,70.5,5,10,17,19,10
Tatro_006851-T1,720,666.75,725.5,7076.33,658.33,743,1571.33,1482,740.5
Tatro_006852-T1,108.67,133,128.33,1034.75,133.17,143.5,312.5,284.58,162
Tatro_006853-T1,146.17,160.5,171.83,2086.08,157.17,215,396.58,366.08,203.33
Tatro_006854-T1,4653.87,3853.92,5279.33,35945.32,3594.17,3901.5,8243.75,7456.67,3715.83
Tatro_006855-T1,41,41.5,45,416.83,40,35,106.5,74.5,31.5
Tatro_006856-T1,3029,3673.33,3854.25,19858.62,2443.08,2812.5,4783.33,4263.83,2393.33
Tatro_006857-T1,9468.17,9842.83,11812.75,73210.82,7723.78,8241.83,13934.12,12023.42,6606.33
Tatro_006858-T1,363.83,276.33,292,3662.92,352.67,417.33,648,570.5,337.75
Tatro_006859-T1,108241.6,93989.28,170538.9,2053706,173726.5,192706.5,343996,335287.9,195153.1
Tatro_006861-T1,1286.67,1444.83,1771.17,11875.37,1153.5,1176.17,1407.67,1392.5,669.25
Tatro_006862-T1,1558.67,1638.92,2567.5,10410.53,963.33,991.25,651.17,683,369
Tatro_006863-T1,129,131.5,146.33,1052,132,100,224,228,89
Tatro_006864-T1,3,5,1.5,13.5,2,1,3,3,2
Tatro_006865-T1,4.5,1,8,30,2,3,7.5,5,1
Tatro_006866-T1,6748.33,5208,5966.2,48162.4,3897.5,4017.17,6979.25,6530.83,3267.25
Tatro_006867-T1,2639.08,2398.08,2819,22030.92,2269.33,2400.5,5187.5,4637.25,2265.83
Tatro_006868-T1,1980.58,1866.17,1878.83,16816.33,1742.83,2044.75,2846,2539.17,1294.33
Tatro_006869-T1,12,9,10,178.75,9,10,32.5,40,21
Tatro_006870-T1,25,32,44.5,356.5,57.5,54,57,56,30.5
Tatro_006871-T1,96.5,75.5,83.83,1508.33,114.5,111.5,157,151.5,73
Tatro_006872-T1,86,73.5,104,760,87.5,90,176,177.5,92.5
Tatro_006873-T1,797,865,905.33,16541.2,1551.83,1616.5,2878.17,2696.5,1389.5
Tatro_006874-T1,58,87,53,664.17,83,105.5,169.5,140.5,66
Tatro_006875-T1,1120,1431.17,1503.17,15084.75,2397.67,2418.25,6204.83,5526.42,2928.67
Tatro_006876-T1,12,10,14,102,10.5,17,28,19,13
Tatro_006877-T1,23.5,25.5,28,218.5,22,22,40.5,34,9.5
Tatro_006878-T1,99.5,102,121,1499.17,120.33,138,195,173.83,82
Tatro_006879-T1,415.83,416.33,439.83,7122.68,764.67,887.67,826,731.92,291.75
Tatro_006879-T2,415.83,416.33,439.83,7122.68,764.67,887.67,826,731.92,291.75
Tatro_006880-T1,1178.33,822.67,1283.67,9297.58,972.83,994.67,1471.5,1146.83,633.33
Tatro_006881-T1,516.75,508,541,3987.7,433.5,564.5,988.33,870,392.33
Tatro_006882-T1,1260.67,1260.58,953.83,15739.58,1144.67,1149.5,1711.83,1572.75,738.83
Tatro_006883-T1,4,8,9,127.5,10,12,13.5,22.5,9
Tatro_006884-T1,393.5,319,331.5,4354,353.5,363,764,700.08,314
Tatro_006885-T1,33,33,62.83,399.08,48,37,98,91,34.83
Tatro_006886-T1,210,175.83,199.33,2091.83,158.5,178.5,297,262.33,120.17
Tatro_006887-T1,821.5,708.5,903.5,6632.08,673.5,735.83,1395.75,1312,676
Tatro_006888-T1,2169.83,1692,2000,12842.08,1144,1212.33,2178,2046.5,1044
Tatro_006889-T1,32,42,55.5,452.73,63,59.5,128.5,101.5,37
Tatro_006890-T1,2505.33,2534.83,3800.5,21209.73,2319.5,2311.67,6265.42,5985.75,3261.17
Tatro_006891-T1,737.5,555.33,600.5,8761.17,693.33,791.5,2239.67,2004.33,1046.5
Tatro_006892-T1,1711.5,2063.75,1642.83,14267.33,1827,2110.5,2680.75,2454.5,1273.33
Tatro_006893-T1,691.67,608.88,717.75,2492.33,350.5,356,706,591,369
Tatro_006894-T1,454.5,317.33,392.5,2432.67,234.33,244.33,442,396.25,190
Tatro_006895-T1,372,413.5,466.5,2342.67,271,276,473.83,410.33,215
Tatro_006896-T1,2,3,3,20,1,3,6,4,3.5
Tatro_006897-T1,293,302,268,381.5,33,34.83,240.83,179.33,67
Tatro_006898-T1,204.5,201,181.5,434.5,31,43.33,1053.33,1036.83,505
Tatro_006899-T1,438.5,424,503.08,3385,399.5,416.5,1210.58,1046.5,661.5
Tatro_006900-T1,3,8,5,35,5,5,13.5,16,4
Tatro_006901-T1,135,131.5,112.5,666,73.5,69,91.5,102.5,31
Tatro_006902-T1,18.5,17.5,26,184,13,12,27,19,8
Tatro_006903-T1,1672.7,1407.33,1556.83,18734.68,1779.33,1788,3468.5,3092.67,1421
Tatro_006904-T1,8,3,4.5,60,10,12,26,10,6
Tatro_006905-T1,510.5,368.5,224.5,26318.54,2183.17,2682.33,3842,3503.92,1578.33
Tatro_006906-T1,255.83,237.33,201.67,3984.33,353.17,415.58,1127.75,952.08,405.17
Tatro_006906-T2,255.83,237.33,201.67,3984.33,353.17,415.58,1127.75,952.08,405.17
Tatro_006907-T1,4649,3664.78,3980.67,28207.83,2635.5,2910.75,4805.42,4199.08,2172.5
Tatro_006908-T1,48,69.5,62,297.5,38,64.5,136.5,132,64.5
Tatro_006909-T1,1149,1099.08,1085,12038.92,1038.5,1108,2227,1972.67,956.58
Tatro_006910-T1,604.83,564.5,639,6280,582,604.5,1179.33,1077.5,516.5
Tatro_006911-T1,23,24.5,23,370.5,53.33,46,414.5,371.5,191
Tatro_006912-T1,454,342.5,350.5,3286.92,298.5,311,504.5,451,194.5
Tatro_006913-T1,776,663,860.5,6807.2,712.83,706.5,1231.33,1093.33,554.5
Tatro_006914-T1,2859.75,2190.58,2633.53,17446.67,1397.83,1397.58,3512.5,2801.67,1577.33
Tatro_006915-T1,363.67,262.33,309.33,1760.83,188.17,159,400.83,350,179.5
Tatro_006916-T1,1203,1057.83,1248.58,12716.78,1180.17,1222.5,2602.92,2325.83,1180
Tatro_006917-T1,7,5,0,19,3,1,2,2,0
Tatro_006918-T1,1,1,0,13,1,3,9,3,4
Tatro_006919-T1,37.5,45,26,285.5,26,39.5,91.5,91.5,40.5
Tatro_006920-T1,26,33.5,25,590.25,53,53,93,82,45.5
Tatro_006921-T1,578.5,478.75,449.5,5818.75,510.5,558,1059,867.33,346
Tatro_006922-T1,36.5,35.5,24,242.25,32.5,26,28,24,11
Tatro_006923-T1,455,339,474.5,5178.92,458.33,465.75,821.5,730.5,348.5
Tatro_006924-T1,39,54.5,42,430.5,36,41.5,55,54,22
Tatro_006925-T1,1,11,10,33.5,5,2,8,5,1
Tatro_006926-T1,1101,916.33,753,5412.5,465.83,487.5,920.33,778.5,375.5
Tatro_006927-T1,293.83,230.83,221.5,1718.5,114.33,131,227.5,211,108.5
Tatro_006928-T1,7471.33,9752.67,11707.83,41637.82,6207,6162.92,7639.83,7210.25,4093.67
Tatro_006929-T1,939.33,833,825.5,10152.12,732.5,810,1643.75,1414.5,699
Tatro_006930-T1,306.5,276.5,340.25,4166.17,218.25,273.5,455.5,516.5,217
Tatro_006931-T1,719.33,601.83,673.5,6998.33,541.5,627.5,1250.33,1080.5,494
Tatro_006932-T1,0,2,4,14.5,0,0,2,3,0
Tatro_006933-T1,5892.33,6231.33,7835.17,43454.83,4692.33,5032.75,9529.2,8417.58,4434.83
Tatro_006934-T1,82.83,111.5,120.5,892,89.5,122.5,177.5,144,86.5
Tatro_006935-T1,431,380.33,379,3766.12,415,450.75,906.33,764.5,408.67
Tatro_006936-T1,883.5,705.83,939.5,6611.17,641.33,731.33,1413.83,1172,590
Tatro_006937-T1,27.5,29,21.5,136.83,16.5,19,23,23,6
Tatro_006938-T1,202,176,258,1298.5,143.5,174.5,280,270.67,147
Tatro_006939-T1,391.33,304,450.33,2685.08,213.7,289.33,1692.83,1737.75,777.5
Tatro_006940-T1,984.33,822.83,1202,4576.58,393.83,411.33,868.83,743.08,374.5
Tatro_006941-T1,691,640,711,6954.75,733.83,757.5,1542.5,1361.33,688.5
Tatro_006942-T1,255.5,218.5,281.5,1839.33,225.33,250.5,368,307.5,170.83
Tatro_006943-T1,268.5,134,210.5,1109.08,86,93.33,225.83,190.25,90
Tatro_006944-T1,34,22,43.5,355.83,21.5,26,26,47.5,18
Tatro_006945-T1,217,190.5,253,1059.5,150.5,148.08,291,218,136
Tatro_006946-T1,18.5,39.5,53.5,251,24,31,51.5,25,19.5
Tatro_006947-T1,46,27,54.5,290,25,25,23,17,9
Tatro_006948-T1,69,83,88.5,802,85.5,73.5,96.5,113,50
Tatro_006949-T1,406.33,441.83,577.25,3835.25,622.5,609.17,955,757.5,426
Tatro_006951-T1,211414.3,166691.4,247637.4,1345212,113586.9,116783.4,190629.1,168014.1,88334.74
Tatro_006952-T1,223,195,199.5,2350.5,168.5,185.5,474.5,408,183
Tatro_006953-T1,328,348.5,351,2988.83,338.33,380.5,660,564,280
Tatro_006954-T1,225.5,226.83,246,2554.17,218,253.83,450.5,462.5,233.83
Tatro_006955-T1,306.33,290,270.5,2870.33,333.5,331.5,632,586.83,303
Tatro_006957-T1,17,4,5,114.25,10,10,47,31,16
Tatro_006958-T1,1239,1334.25,1458,12687.42,1285.5,1393.83,3136.33,2841.5,1572
Tatro_006959-T1,717,701.5,662.75,6217.08,522.5,585.5,1141.5,1004.83,506.5
Tatro_006960-T1,3919.92,2814.92,3716,35707.25,2832.83,2943.5,6348.5,5587.33,2630.83
Tatro_006961-T1,504.83,458.5,518.5,4812.04,438.33,482.5,1146.33,1052,528
Tatro_006962-T1,317,334.33,336.5,2603.57,317,342.5,558,529.03,236.5
Tatro_006963-T1,109.5,93,92,1009,83.5,83,159.5,142.5,56.5
Tatro_006964-T1,383,373.75,322.5,4391.42,455,466.5,811,671.33,333
Tatro_006965-T1,2216.42,1947,2201.25,23533.23,1875.17,1977.83,4109.08,3527,1692.5
Tatro_006966-T1,780.5,711.5,770,7759.67,606.75,743.33,1455.5,1297.5,688
Tatro_006967-T1,1130.5,940,1113.5,12549.33,885,979,1147,1080,611.5
Tatro_006968-T1,237.5,197.5,274.5,1517.33,179.33,206,294.33,330.5,194
Tatro_006969-T1,418,372.5,414,3347.83,405,439.5,1230.33,1169.5,612
Tatro_006970-T1,835,829,975,7117.83,708.75,757.75,1430.33,1292.5,650
Tatro_006971-T1,783,888.67,880,7949.58,873.5,948.5,887,773,404.5
Tatro_006972-T1,134,100.5,113,842.83,135,118,288,262.83,145
Tatro_006974-T1,124,118.33,130.5,1163,103.5,123.5,279,220,116
Tatro_006975-T1,7234.67,5048.25,6826.53,47663.78,3867.33,4347.83,10290.03,9144.83,4752.75
Tatro_006976-T1,53,60.5,106,564.75,60.5,58.5,126,98.5,55
Tatro_006977-T1,1410.08,1130.25,1369.17,14622,1266.67,1377.03,2469.33,2246.33,1295
Tatro_006978-T1,253.5,270.33,175,5282.33,618.5,653.17,929.5,783.83,395
Tatro_006979-T1,66,78.5,76,2340.67,209.5,250,454.33,471,229
Tatro_006980-T1,189.83,210,221.5,1426.5,173.5,190,334,340.5,145
Tatro_006981-T1,6,19,14,98.5,11,14,18,15,10
Tatro_006982-T1,72.5,72,56.5,515.5,44,54.5,109.5,86.5,53.5
Tatro_006983-T1,43,45,71.5,279.5,46.5,45,168.5,128,83
Tatro_006984-T1,217,248,225,1974.5,168,199.5,447,353.5,157.5
Tatro_006985-T1,120.5,124,129.5,871,86.5,92.5,175.5,137,78.5
Tatro_006986-T1,24.5,28.5,33,685.33,46.5,71.5,149,138,43.5
Tatro_006987-T1,105,93.33,112.5,2571.83,252,254,813,772.5,341.5
Tatro_006988-T1,2472,2575.67,2905.33,12708.37,1827.5,1706.83,197.5,160.5,87.5
Tatro_006989-T1,19,18,19,151,17,24,39.5,19.5,6.5
Tatro_006991-T1,7,14,10,252.33,20.5,19,46.5,44,18
Tatro_006992-T1,12,12,12,553,54.5,57,129,114,55.5
Tatro_006993-T1,140,123.5,110,1100.33,89,78,70,55,25
Tatro_006994-T1,0,0,0,6,1,1,3,6,0
Tatro_006995-T1,2,2,1,60,5,8,108.5,124.5,56.5
Tatro_006996-T1,10,10,8,120,11,12,10,4,4
Tatro_006997-T1,265,257.67,223.5,2743.83,300,318.83,491,430.33,195.5
Tatro_006998-T1,80.5,100,53,2043,207.08,191.5,247.5,238.5,115
Tatro_006999-T1,552.83,760.33,627,8546.28,961.33,1074.83,1219.33,1153.83,581
Tatro_007000-T1,1461.83,1450.08,1461,14603.58,1244.17,1342,2228.5,2009.67,905.67
Tatro_007001-T1,13.33,26.33,22.5,242.17,17.5,23,43,35.33,16.5
Tatro_007002-T1,670.5,697.33,691.5,3479.92,500.17,512,1340.5,1285.5,693.33
Tatro_007003-T1,1068.83,1323.75,1319.33,10501.43,1124.83,1211.67,1453.33,1386.5,713
Tatro_007004-T1,128.5,93,172,1328.33,126,106,190.33,151.5,78
Tatro_007005-T1,14,9.5,10,54,8,7.5,13,15,8
Tatro_007006-T1,560.33,413.5,583.75,7543.17,595.33,670.5,1523.5,1358.33,721
Tatro_007007-T1,351.5,223,336,2324.92,259.5,213,703,648.5,331
Tatro_007008-T1,268.5,211,265.5,1507.83,122.5,107,394.83,391,166.5
Tatro_007009-T1,334,315.5,209.5,5101.58,448,537.5,1286.17,1108.67,571
Tatro_007010-T1,58,66,51,1033.33,118,129.5,247.33,249.83,120.83
Tatro_007012-T1,68.83,63.83,44.5,2194.33,194.5,218.5,274.83,274.5,109
Tatro_007014-T1,1288.17,1130.67,1154.5,9296.08,1153.67,1211.5,1758.67,1515,813
Tatro_007015-T1,103.5,81,147.5,478,88,61.5,88.5,85.5,51
Tatro_007016-T1,1593.33,933.17,1743.08,14711.12,1417.17,1497,2567.33,2217.25,1086
Tatro_007017-T1,586.83,423.17,729.58,5579.2,522.58,553,883,768.33,411.83
Tatro_007018-T1,2691.58,2575.33,2845.08,7622.5,1154,1260.25,2659.25,2055,1274
Tatro_007019-T1,770,659.17,968,5318.67,552.25,641.75,2167.67,1957,1060
Tatro_007020-T1,5340.5,4607.17,4759.25,54926.08,4478,4708.83,5430.53,4727.75,2358.33
Tatro_007021-T1,63,55.5,61.5,746,69,64,103.5,81,33
Tatro_007022-T1,2,3,1,3,1,3,2,2,1
Tatro_007023-T1,11,9,10,48.5,3,8,6,6,5
Tatro_007024-T1,1,2.5,1,3.5,3,0.5,2,0,1
Tatro_007025-T1,8,6.5,4,29,5,4.5,3,0,1
Tatro_007026-T1,30,16,17,455,45.5,45,67,89.83,34
Tatro_007027-T1,0,0,1,16,1,3,4,2,2
Tatro_007028-T1,45.5,91.08,124.67,433.33,107.5,93.67,192.58,172.42,94.67
Tatro_007029-T1,3801.83,3867.67,4568.17,27451.42,3569.83,3895,8507.83,7231.33,4165.08
Tatro_007030-T1,608.08,644,694.33,5335.5,536,539.83,872.5,781.83,375
Tatro_007031-T1,15837.75,10819.5,21246,135471.1,10919.2,11418.33,18064.83,16566.17,8231.83
Tatro_007032-T1,81.5,75.5,94,532.5,63.5,76,100.5,94,43
Tatro_007033-T1,1959,1944.25,2181.33,12180.5,1473.25,1623,2670.17,2222.83,1364
Tatro_007034-T1,706.17,635,807,5795.33,626,702,1276.5,1090.83,597.5
Tatro_007035-T1,6421.08,5108.42,5681.87,41590.83,4276.67,4357.42,12686.37,11444.67,5768.5
Tatro_007036-T1,4151.42,3567,3819.75,19832.95,2338.5,2375.25,4964.83,4271.92,2491.33
Tatro_007037-T1,383.5,351.5,502.5,2591.17,298.5,331.33,804.5,698.33,360
Tatro_007038-T1,611.5,602.83,566.33,3493.58,424.83,475.5,909.5,830,430
Tatro_007039-T1,4778.5,3915.78,5205.25,28027.25,2785.5,3133.58,6384.37,5380.5,2829
Tatro_007040-T1,2428.67,2172.92,2356.5,12826.37,1110.5,1194.33,1917.33,1847.5,802
Tatro_007041-T1,178.5,235.25,258,1473.33,179,195.83,294.5,249,149
Tatro_007042-T1,178,151.5,162,1251.75,122.17,125.83,208.5,183.5,78.5
Tatro_007043-T1,355,395.83,488.5,2840.33,349.17,351.83,557.5,491.75,268
Tatro_007044-T1,2545.17,2492.17,2187.67,13621.58,1650.58,1951,1649.6,1350.5,724
Tatro_007045-T1,10,6.5,13,415.5,55.5,47,116.33,86.5,52
Tatro_007046-T1,8.5,10,2,143,14,12,14.5,12,7
Tatro_007047-T1,13,7,14,129.83,8,10,11,12,3
Tatro_007049-T1,362.5,421.5,271.5,3826.75,507.5,527.5,746,632.17,326.5
Tatro_007050-T1,8,17.5,7,46.5,5,8,7.5,16,6
Tatro_007051-T1,207.42,169,68.5,13622.71,1397.58,1442.53,2291.83,1880.83,812.5
Tatro_007051-T2,207.42,169,68.5,13622.71,1397.58,1442.53,2291.83,1880.83,812.5
Tatro_007052-T1,196,175,69.5,8265.25,1259.25,1312.5,1448.33,1229.5,638
Tatro_007053-T1,42,29,34.5,361,39,46,67,51,17
Tatro_007054-T1,531.33,352.5,510.5,5895.83,504,583.33,1479,1272.5,706.5
Tatro_007055-T1,850.5,766.83,961.33,7265.83,789.83,883.67,1735.5,1406.83,761
Tatro_007056-T1,3,3,1,33.5,8,3,8,6,1
Tatro_007057-T1,157.5,146,174.5,742,69,87,89.5,48,33.33
Tatro_007058-T1,28.5,27,57.33,320,28,37,58.5,53,31
Tatro_007059-T1,284.33,234.5,304.83,2493,252.17,257.33,496.5,407.33,213.5
Tatro_007060-T1,4300.58,4339.83,4483.17,34277.67,3809.67,4299.67,6846.28,5930.42,3101
Tatro_007061-T1,432,354.33,591,3151.67,359.5,361,1802.83,1606.17,814
Tatro_007062-T1,19.5,24.33,55.5,211,40,29.5,106,103,49.5
Tatro_007063-T1,1873.83,1669,1916.58,8301.67,899.5,1011,1850.83,1626.67,894
Tatro_007064-T1,1389.17,1210.58,1421.83,6969.83,697.33,680,970.5,882,380
Tatro_007065-T1,5568.33,4763,5214.25,31518.53,2890.25,3025.5,3889.17,3146.5,1587.33
Tatro_007066-T1,2012.83,1576.67,2413.5,4289.33,433.5,430.5,462.5,384.75,174.25
Tatro_007067-T1,4,10,0.5,51,3,5,12,15,7
Tatro_007068-T1,36,48.25,57.83,251.5,37.5,40.5,84,67,26.5
Tatro_007069-T1,162,159,174.5,4992.83,372.5,498,712,729.33,331
Tatro_007070-T1,181.33,220.33,297,1256.37,173,199,217.5,225.5,88
Tatro_007071-T1,1,6,1,145.5,16.5,15,3,3,1
Tatro_007072-T1,1,4,2,100.5,12.5,15,6,7.5,3
Tatro_007073-T1,674.5,556.5,551,4465.25,421.75,409,1096.33,981.58,426
Tatro_007074-T1,1262.75,966.17,880.75,11595.83,827.75,947,1950.33,1696.17,814.5
Tatro_007075-T1,468.5,436.67,498.33,5374.75,513.5,564.33,1012,966.5,440.5
Tatro_007076-T1,565.5,594,691,4643.25,520,527,720.5,657.5,315
Tatro_007077-T1,501.33,552.5,527.67,4052.08,599.5,598,1076.67,877.5,517.5
Tatro_007078-T1,1332.83,970.17,1279.5,11074.25,716.17,783.5,1523.5,1418.17,687.5
Tatro_007079-T1,0,0,0,0,0,0,0,0,0
Tatro_007080-T1,0,0,0,0,0,0,0,0,0
Tatro_007081-T1,0,0,0,0,0,0,0,0,2
Tatro_007082-T1,533,493,631.5,5652.08,546,528,1168.75,1025.38,469.5
Tatro_007083-T1,6,18,8,208.33,16,10,18,17,8
Tatro_007084-T1,1,1,1,72.25,4,8,8,4,5
Tatro_007085-T1,2,3,8.5,49.5,9,5,6,1,1
Tatro_007086-T1,1,0,0,11.5,0,4,3,1,0
Tatro_007087-T1,0,0,0,2,0,2,1,0,0
Tatro_007088-T1,4,3,7,97,9,6,17,21,7
Tatro_007089-T1,2,0,3,14,1,1,5,3,2
Tatro_007090-T1,0,1,0,7,1,1,1,2,0
Tatro_007091-T1,0,0,0,1,0,0,0,0,0
Tatro_007092-T1,4,4.5,6,28,4,6,7.5,15,3
Tatro_007095-T1,394.5,295,372.75,4948.58,405.5,452.5,766,673.5,302.83
Tatro_007096-T1,856.5,824.83,915.5,7888.92,830.33,899.5,1731.33,1435.5,799.5
Tatro_007097-T1,328.5,292.33,317.5,2801.58,233,260.5,341.5,338,158.33
Tatro_007098-T1,5679.25,4937.7,5742.54,17982.53,2010.83,2161,4557.83,4102.67,2064.83
Tatro_007099-T1,7,16,19.5,259,21.5,13,38,45.5,18
Tatro_007100-T1,65.5,77.83,88,952,86.83,90,226.5,217,93.5
Tatro_007101-T1,7,9,7,15,2,2,4,6,3
Tatro_007102-T1,1201.08,1080.33,1420.87,14139.83,1276.42,1443.33,2687.42,2388.83,1328.5
Tatro_007103-T1,1278.5,1231.92,1712.53,15150.28,1254.42,1237.5,2759.92,2658.83,1250.42
Tatro_007104-T1,577.33,457.2,610.5,5458.7,541.67,567.67,948.67,850.58,457.67
Tatro_007105-T1,292.33,216.2,278,2817.87,286.67,303.17,518.67,475.08,270.17
Tatro_007106-T1,3098.5,2857.17,3117.92,27175.75,2239.33,2268.5,6329.42,6146.33,2966
Tatro_007107-T1,0,0,0,0,0,0,0,2,0
Tatro_007109-T1,0,0,0,7.5,0,1,5,5,4
Tatro_007110-T1,0,0,0,7,0,0,0,0,0
Tatro_007111-T1,6,8,12,199,9,15,17.5,30,9
Tatro_007112-T1,0,0,0,0,0,0,0,0,0
Tatro_007113-T1,0,0,0,0,0,0,0,0,0
Tatro_007114-T1,2317.67,1978.17,2691.83,29021.5,3000.17,3104.83,11348.33,10788.37,5360
Tatro_007115-T1,1850.17,1839.12,1843.33,25322.07,1977.92,2086.5,5415.08,5380.5,2043
Tatro_007116-T1,85.5,74,87,852.75,83,103,327,325.33,160.33
Tatro_007117-T1,11,5,10,136.33,7,12,48,43,14
Tatro_007118-T1,50.5,59.5,88,891,69.33,94,212,206.5,110.5
Tatro_007119-T1,18.5,34,28.5,372.5,40,41.5,82,76,32
Tatro_007120-T1,47,67,48.5,513.5,70,86,133.5,125.5,66
Tatro_007121-T1,5,0,0,27,6,4,19,10,3
Tatro_007122-T1,207,209,195.67,910.5,139.5,142.5,296,268,168.5
Tatro_007123-T1,2,2,5,68.5,6,7.5,11,14.5,5
Tatro_007124-T1,14,31,17,187.5,22.5,20.5,96,79.33,34
Tatro_007125-T1,3,2.5,3,34.5,0.5,5,16,23.83,9
Tatro_007126-T1,6,2,3,43.33,3,2.5,9.5,8,3
Tatro_007126-T2,6,2,3,43.33,3,2.5,9.5,8,3
Tatro_007127-T1,15,19,30,253.5,18.5,14,55,65,20
Tatro_007128-T1,8,10,12,76,10,10,45.5,38.5,9
Tatro_007129-T1,2,1,2,14.5,0,2,0,1,0
Tatro_007130-T1,0,0,0,11,0,0,1,0,3
Tatro_007131-T1,116.5,167,109.33,1277.33,155,162,340,270,149
Tatro_007132-T1,4,8,1,24,3.5,3,5,4,3.5
Tatro_007133-T1,1,2,2,24.5,0.5,2,2,5,1.5
Tatro_007134-T1,125,113.5,110,2127.75,195,185.83,245.33,237,97.5
Tatro_007135-T1,21,18,13.5,331.33,29.5,37,36.5,15,7
Tatro_007136-T1,241.33,298.5,330.25,3256.83,362,408.5,667.5,609,323.5
Tatro_007137-T1,0,0,0,2,0,1,0,1,0
Tatro_007138-T1,10.67,6,8.33,140.83,21.33,22.33,23,18.33,11.33
