,control_1mMPi_R1,control_1mMPi_R2,control_1mMPi_R3,T01mMPhi_R1,T01mMPhi_R2,T01mMPhi_R3,T05mMPhi_R1,T05mMPhi_R2,T05mMPhi_R3
Tatro_000241-T1,1002.67,994.58,1132.83,5504.5,678.83,717.5,1745.17,1338.67,817.5
Tatro_000242-T1,66,67.5,96,644.83,58,76,115,131,79
Tatro_000243-T1,0,0,0,0,0,0,0,0,0
Tatro_000244-T1,3,1,5,29.5,0,3.5,3.5,4,3
Tatro_000245-T1,3,0.5,2,12,0,2.5,2.5,2,1
Tatro_000246-T1,0,0,0,0,2,0,0,0,0
Tatro_000247-T1,6,2,3,84.5,9,9,25,27,13
Tatro_000248-T1,48,49,46,434.5,40,36.5,147.5,152,65.5
Tatro_000249-T1,721,597.5,778.5,4735.5,511,502,2018,1748,933
Tatro_000250-T1,778.33,749.53,971.83,5942.67,556.83,583.58,1516.67,1467.5,774.67
Tatro_000251-T1,680.08,609.53,727.67,5920.5,515.33,578.08,927.83,883.33,411.17
Tatro_000252-T1,4032.58,3937.08,4495.5,23123.45,3023.5,3072.25,5998,5282.5,2744.58
Tatro_000253-T1,718,540.5,544.5,8606.83,637.5,730.95,1142.33,907.67,426
Tatro_000254-T1,58.5,32,43,1254.42,37,47.5,73.5,84.5,23
Tatro_000255-T1,1274.83,1257.83,1409.5,13787.87,1237.08,1274,2345.83,1977,923.83
Tatro_000256-T1,157.5,148.83,206,1611.5,151,144,280.33,264,122
Tatro_000257-T1,0,2,0.5,7,0,1,0,1,0.5
Tatro_000258-T1,161.5,154.5,112,993,86,91.5,269.03,252.5,111.5
Tatro_000259-T1,283,237.5,273,2254.33,228,265.5,562.5,503.25,253.5
Tatro_000261-T1,241.5,278,295,1808.33,210,193.5,281,282.5,145
Tatro_000262-T1,27,20.5,7,1021.33,87,95,438.25,419.5,141.5
Tatro_000263-T1,0,0,0,4,0,0,1,0,0
Tatro_000264-T1,0,0,0,3,1,0,1,0,0
Tatro_000265-T1,2,1,0.5,2,1,0,2,1,0
Tatro_000266-T1,3061.2,3119.42,3624.33,12494.82,1458.33,1540,3302.58,3226.5,1705
Tatro_000267-T1,221.5,289.5,279,3497.5,358,361.83,566.83,637,283.5
Tatro_000268-T1,11261.67,11004.78,14149.5,70797.91,9870.32,9809.33,27226.58,22907,13681.5
Tatro_000269-T1,4,10,3,525.33,66,67,71,58.5,22
Tatro_000270-T1,75.5,66.5,69.5,1079.5,124,120.2,254,183.5,103.5
Tatro_000271-T1,327,207.58,362,830.33,93,104.5,67.5,60.5,34.5
Tatro_000272-T1,5.5,2.5,5,84.67,6,4,24,18,10
Tatro_000273-T1,0,0,0,5,0,4,2,0,0
Tatro_000274-T1,669.33,737.83,870.5,6190.75,794,902.5,1220,1153.83,558.5
Tatro_000275-T1,1450.58,1241.67,1696.67,12192.33,1060.5,1247.08,3348.67,3030.5,1550.33
Tatro_000276-T1,676.75,566.5,864,4767.83,644,668,1857.83,1711.5,922.5
Tatro_000277-T1,1196.33,823.5,1044.83,8599.08,819,926,2225.83,1902.5,1046.5
Tatro_000278-T1,16504.42,13939.15,18628.08,117396.85,10504.12,10857.75,30082.92,27131.03,14183.25
Tatro_000279-T1,553,617.33,739.5,3704.67,409,404.5,550,485,264.5
Tatro_000280-T1,22.5,20,19,204.5,13.5,22.5,37,26,18
Tatro_000281-T1,259,169,666.67,5804.17,683.33,601.5,595.5,562,307
Tatro_000282-T1,28.5,13.33,30,247,21,28,42,39,21
Tatro_000283-T1,172,186.83,184.5,1510.33,208.5,193,243,199.5,131.5
Tatro_000284-T1,314,307,360,4440.42,368.5,458,718,643.5,345.5
Tatro_000285-T1,3250.33,2684.67,3215.67,28152.6,2325.83,2601.75,5622.42,5045.5,2347.67
Tatro_000286-T1,999,966.08,984,7519.58,759.5,818,1389.5,1331.5,745
Tatro_000287-T1,895.5,946.33,1060.17,8207.67,810.5,825,1437.83,1352.17,684
Tatro_000288-T1,118,80.5,111,1156.67,75.5,80,193,189.83,83
Tatro_000289-T1,301.58,314.17,314.83,2064.92,268.5,267.83,623,536.67,263.25
Tatro_000290-T1,416.33,393.17,470.33,2713.83,341,391.33,723.5,636.5,353.75
